	Locustag	Gene	Description	FeatureType	pcnB	WT	cluster
73	DN756_04950	kbaZ	tagatose-bisphosphate aldolase subunit KbaZ	CDS	0.5524649810883377	0.5837529345965652	0
74	DN756_04945		SIS domain-containing protein	CDS	0.5184776880234355	0.642293661493479	0
75	DN756_04940		PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB	CDS	0.5428328037506736	0.6226294933852768	0
76	DN756_04935		PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC	CDS	0.519067275607231	0.6556853911688789	0
77	DN756_04930		PTS mannose/fructose/sorbose transporter family subunit IID	CDS	0.5295633633634999	0.667854922523643	0
78	DN756_04925		PTS sugar transporter subunit IIA	CDS	0.49138913653642907	0.6931343883874489	0
79	DN756_04920	nagA	N-acetylglucosamine-6-phosphate deacetylase	CDS	0.5218916227493333	0.6833880100566901	0
80	DN756_04910		glycoside hydrolase family 105 protein	CDS	0.5412092513115176	0.628574914933604	0
81	DN756_05365		UMP kinase	CDS	0.5662329662639314	0.5334479233450271	0
82	DN756_05370		ribosome recycling factor	CDS	0.5420889599971069	0.5754338525206096	0
83	DN756_05375		hypothetical protein	CDS	0.5798719767846323	0.4863209243712688	0
84	DN756_05750		voltage-gated potassium channel protein	CDS	0.6942569233789228	0.46637384235146334	0
85	DN756_05740	hdeB	acid-activated periplasmic chaperone HdeB	CDS	0.6927998909595015	0.5128030239979187	0
86	DN756_05735		HoxN/HupN/NixA family nickel/cobalt transporter	CDS	0.7491857174927282	0.4174458126882388	0
87	DN756_05730	yut	urea transporter	CDS	0.7783028405804252	0.3817551405858993	0
88	DN756_05725		urease accessory protein UreD	CDS	0.8146680927243747	0.36048539440124305	0
89	DN756_05720	ureG	urease accessory protein UreG	CDS	0.7710145408535998	0.3748559834982452	0
90	DN756_05715		urease accessory protein UreF	CDS	0.7828962512473852	0.38101318325130235	0
91	DN756_05710	ureE	urease accessory protein UreE	CDS	0.7958790919925476	0.37086407875076	0
92	DN756_05705		urease subunit alpha	CDS	0.817207130821691	0.37652979078418575	0
93	DN756_05700		urease subunit beta	CDS	0.7761994152172234	0.3765902224067678	0
94	DN756_05695		urease subunit gamma	CDS	0.7614215749880016	0.3659353479613429	0
95	DN756_05690		ABC transporter ATP-binding protein	CDS	0.5817112692019967	0.5501089469237558	0
96	DN756_05685		ATP-binding cassette domain-containing protein	CDS	0.5940269376132389	0.5438291149161085	0
97	DN756_05680		ABC transporter permease	CDS	0.6199832999166144	0.5444626417737086	0
98	DN756_05675		ABC transporter permease	CDS	0.6053675994382697	0.5204692384161335	0
99	DN756_05670		ABC transporter substrate-binding protein	CDS	0.6014206880152865	0.5051891440273922	0
100	DN756_05665		cold-shock protein CspB	CDS	0.8272050633107272	0.39977724547555105	0
101	DN756_05755		fluoride ion transporter CrcB	CDS	0.7049334132218487	0.39509917444604603	0
102	DN756_05655		DUF1198 domain-containing protein	CDS	0.5052868789456196	0.5785902924938758	0
103	DN756_05760	crcB	fluoride efflux transporter CrcB	CDS	0.6946042575992616	0.41037557505420813	0
104	DN756_05775		PTS N,N'-diacetylchitobiose transporter subunit IIC	CDS	0.5495157052477926	0.5272352765375945	0
105	DN756_14885	glnS	glutamine--tRNA ligase	CDS	0.5416740030373158	0.533994933595385	0
106	DN756_14900		PTS N-acetyl glucosamine transporter subunit IIABC	CDS	0.5734911435409746	0.5682283744228406	0
107	DN756_05885		3',5'-cyclic-nucleotide phosphodiesterase	CDS	0.5187345423395211	0.5576713430405057	0
108	DN756_05880		deoxyribodipyrimidine photo-lyase	CDS	0.513035057413868	0.5462058905221325	0
109	DN756_14905		glucosamine-6-phosphate deaminase	CDS	0.5802309470557047	0.48503044852440635	0
110	DN756_14910		N-acetylglucosamine-6-phosphate deacetylase	CDS	0.7793847160727091	0.48921921378126537	0
111	DN756_14965		2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	CDS	0.5728630934560719	0.5557385287953779	0
112	DN756_14970	miaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	CDS	0.5961937571579701	0.5167862589963029	0
113	DN756_15015		zinc ribbon-containing protein	CDS	0.5870757623694299	0.542280986782995	0
114	DN756_15025	lptE	LPS assembly lipoprotein LptE	CDS	0.5527626863997367	0.5234161402849049	0
115	DN756_15035		nicotinate-nicotinamide nucleotide adenylyltransferase	CDS	0.5306387548404575	0.5244228021123175	0
116	DN756_15050		penicillin-binding protein 2	CDS	0.4261329603154019	0.6835954467789256	0
117	DN756_05805		hypothetical protein	CDS	0.43685338405325547	0.6187317055216267	0
118	DN756_15060	rlpA	endolytic peptidoglycan transglycosylase RlpA	CDS	0.2601403266283541	0.8848856131092547	0
119	DN756_15065		serine-type D-Ala-D-Ala carboxypeptidase	CDS	0.5291010307612768	0.5442234307535063	0
120	DN756_15070		DUF493 family protein	CDS	0.20528729375182328	0.9460599807837496	0
121	DN756_15100	cspE	cold shock-like protein CspE	CDS	0.3848200214897603	0.7055640534001784	0
122	DN756_05770		PTS sugar transporter subunit IIB	CDS	0.5337673317404965	0.5869897403217567	0
123	DN756_16110		DNA-binding protein HU-beta	CDS	0.5295879255664061	0.578638816719896	0
124	DN756_15125		glycogen synthase	CDS	0.44033823734260324	0.7187791895970603	0
125	DN756_15145	iolB	5-deoxy-glucuronate isomerase	CDS	0.5470626010154422	0.5121182828357522	0
126	DN756_15330		phosphatase PAP2 family protein	CDS	0.5899079900514156	0.520861453220856	0
127	DN756_05465		YaeP family protein	CDS	0.5056638810693416	0.5712626991579355	0
128	DN756_15335		alpha/beta fold hydrolase	CDS	0.568306943013061	0.5632125745066224	0
129	DN756_15340		1-acyl-sn-glycerol-3-phosphate acyltransferase	CDS	0.5386721577253599	0.5966429928871375	0
130	DN756_05450	tilS	tRNA lysidine(34) synthetase TilS	CDS	0.5560928110868243	0.5244694930131765	0
131	DN756_05445		VOC family protein	CDS	0.5646870657700368	0.5188812335188521	0
132	DN756_15350		CDP-alcohol phosphatidyltransferase family protein	CDS	0.4521890720992365	0.5978903237800014	0
133	DN756_05435		DNA polymerase III subunit alpha	CDS	0.6015480264339397	0.4917876023396701	0
134	DN756_05430		ribonuclease HII	CDS	0.5971351778795451	0.45871895839304205	0
135	DN756_05425		lipid-A-disaccharide synthase	CDS	0.6122598531686605	0.5163916473599798	0
136	DN756_05420		acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	CDS	0.5966156704120815	0.5150977069181503	0
137	DN756_05415		beta-hydroxyacyl-ACP dehydratase	CDS	0.5539506015722804	0.5024100319878911	0
138	DN756_05405		molecular chaperone Skp	CDS	0.5444097097567937	0.5349659431356903	0
139	DN756_05400	bamA	outer membrane protein assembly factor BamA	CDS	0.5550233050672166	0.5587546316586363	0
140	DN756_05395		protease RseP	CDS	0.5385192010266471	0.5418329388788905	0
141	DN756_05385		(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase	CDS	0.5202581923837141	0.5616353934068545	0
142	DN756_05380		1-deoxy-D-xylulose-5-phosphate reductoisomerase	CDS	0.5890160634783602	0.54033602859808	0
143	DN756_15325		hypothetical protein	CDS	0.6446315344955159	0.47842562387652837	0
144	DN756_15130		antibiotic biosynthesis monooxygenase	CDS	0.05092636361514177	0.992278253884623	0
145	DN756_15305		aldo/keto reductase	CDS	0.5462719270281052	0.506018787234572	0
146	DN756_15295		glycosyl hydrolase	CDS	0.4341344299497907	0.6473930348186582	0
147	DN756_15160		gfo/Idh/MocA family oxidoreductase	CDS	0.5695619030173009	0.6147812136328974	0
148	DN756_15165		ABC transporter permease	CDS	0.4828935935713139	0.5902809686690088	0
149	DN756_15170		sugar ABC transporter ATP-binding protein	CDS	0.5121021412191207	0.6603322924166588	0
150	DN756_15175		sugar ABC transporter substrate-binding protein	CDS	0.5240102133651018	0.5774714975916655	0
151	DN756_15180	iolG	inositol 2-dehydrogenase	CDS	0.5522287886426758	0.6358482160205116	0
152	DN756_15185	iolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	CDS	0.5671569483130456	0.5667541969943655	0
153	DN756_15190	mmsA	methylmalonate-semialdehyde dehydrogenase (CoA acylating)	CDS	0.5253826064343485	0.5837562568324509	0
154	DN756_15195		hypothetical protein	CDS	0.6153641018520243	0.6406764719535986	0
155	DN756_15205		alpha-2-macroglobulin family protein	CDS	0.3594914659386295	0.783290601667951	0
156	DN756_15210	pbpC	penicillin-binding protein 1C	CDS	0.5967669306532738	0.5002763305333872	0
157	DN756_05570		murein transglycosylase D	CDS	0.6341829315157684	0.605100871514542	0
158	DN756_15215		transcriptional regulator	CDS	0.5190046261171013	0.6468993641128701	0
159	DN756_05560		hypothetical protein	CDS	0.6332341320556958	0.5216115541740243	0
160	DN756_05555		hypothetical protein	CDS	0.6440838783421996	0.5823341753712936	0
161	DN756_05550	dkgB	2,5-didehydrogluconate reductase DkgB	CDS	0.5797260082936789	0.4932349957391079	0
162	DN756_05505	metI	D-methionine ABC transporter permease MetI	CDS	0.5707254211096406	0.5028818191467392	0
163	DN756_05500		methionine ABC transporter substrate-binding protein MetQ	CDS	0.5605693549813494	0.49832907857224973	0
164	DN756_15300		hypothetical protein	CDS	0.6202549847882457	0.6347005030526299	0
165	DN756_16130		trigger factor	CDS	0.5466079001110075	0.5371262231531675	0
166	DN756_16160		cytochrome o ubiquinol oxidase subunit II	CDS	0.5311388701638231	0.5331162177922418	0
167	DN756_16170		cytochrome o ubiquinol oxidase subunit III	CDS	0.49080458877180827	0.6869890952100995	0
168	DN756_04105		acyl-homoserine-lactone synthase	CDS	0.5838613691268401	0.5133593651762237	0
169	DN756_17115		dihydroxyacetone kinase	CDS	0.515307933427924	0.551528445854609	0
170	DN756_17120		D-threitol dehydrogenase	CDS	0.5446336175841201	0.5459667294297043	0
171	DN756_17135	mutS	DNA mismatch repair protein MutS	CDS	0.5767645260571123	0.5300970377676679	0
172	DN756_17155	surE	5'/3'-nucleotidase SurE	CDS	0.5651681334184095	0.4836647935310155	0
173	DN756_17200		siroheme synthase	CDS	0.5552029152842146	0.5370452481306482	0
174	DN756_04060		lysine 6-monooxygenase	CDS	0.5577455984218064	0.5237801398160167	0
175	DN756_04055		TonB-dependent siderophore receptor	CDS	0.5430655787690855	0.567191148234151	0
176	DN756_17255		enolase	CDS	0.5797863750928897	0.5296285063519282	0
177	DN756_17260	pyrG	CTP synthase (glutamine hydrolyzing)	CDS	0.5227409574592344	0.56989982998274	0
178	DN756_17275		23S rRNA methyltransferase	CDS	0.5942801866252371	0.48903059212097005	0
179	DN756_17280		hypothetical protein	CDS	0.5707722806094082	0.522359449071572	0
180	DN756_17310		hypothetical protein	CDS	0.567776200979914	0.4938700496274494	0
181	DN756_17375		glutamyl-tRNA synthetase	CDS	0.5255335383834991	0.5607505790287568	0
182	DN756_17385		polynucleotide adenylyltransferase PcnB	CDS	0.00012605503755353485	0.8079114670949559	0
183	DN756_03980		RHS repeat-associated core domain-containing protein	CDS	0.3593368706552445	0.6886468974124877	0
184	DN756_17390	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	CDS	0.44626244617183547	0.6452659608286341	0
185	DN756_17110	dhaL	dihydroxyacetone kinase subunit L	CDS	0.5387027779251867	0.5299191343454657	0
186	DN756_17430		hypoxanthine phosphoribosyltransferase	CDS	0.5440543561766894	0.5148458813800628	0
187	DN756_17100	arsB	arsenical efflux pump membrane protein ArsB	CDS	0.4641453936245479	0.621080851625363	0
188	DN756_04125		hypothetical protein	CDS	0.5623752808150881	0.5525894429654796	0
189	DN756_17015		autoinducer 2 ABC transporter substrate-binding protein	CDS	0.48428614030755585	0.7798369211149544	0
190	DN756_17020		sugar ABC transporter ATP-binding protein	CDS	0.6385908074866563	0.6993035844847189	0
191	DN756_04225		ABC transporter permease	CDS	0.5818377078269863	0.5942324437575804	0
192	DN756_04220		sugar ABC transporter ATP-binding protein	CDS	0.5478574814128944	0.5788502078763806	0
193	DN756_04215		ABC transporter substrate-binding protein	CDS	0.5639738429947821	0.6234848069286654	0
194	DN756_17030		ABC transporter permease	CDS	0.6517525669737603	0.687757700714353	0
195	DN756_17035		L-ribulose-5-phosphate 3-epimerase	CDS	0.6322446038083078	0.6820188751993449	0
196	DN756_17040		carbohydrate kinase	CDS	0.588653352412299	0.7491974957890827	0
197	DN756_17045		fumarate hydratase	CDS	0.4960319288384018	0.5770799130338157	0
198	DN756_17055	map	type I methionyl aminopeptidase	CDS	0.7159936152016972	0.4626252549352148	0
199	DN756_17075		cytochrome-c peroxidase	CDS	0.6369625686631631	0.5222663652930756	0
200	DN756_17095		transcriptional regulator	CDS	0.3953895344850546	0.7245128870596754	0
201	DN756_04155		Hcp family type VI secretion system effector	CDS	0.8033594933795501	0.4131141392205492	0
202	DN756_04150		OmpA family protein	CDS	0.7378828301158673	0.29619456275840317	0
203	DN756_04145		DotU family type IV/VI secretion system protein	CDS	0.7831423624047468	0.458934856779778	0
204	DN756_04140	tssK	type VI secretion system baseplate subunit TssK	CDS	0.715317296405378	0.3511208140581695	0
205	DN756_04135	tssC	type VI secretion system contractile sheath large subunit	CDS	0.5994166679220171	0.4567377826710194	0
206	DN756_04120		IS1 family transposase	CDS	0.5994899874875957	0.5038379877542261	0
207	DN756_17010		DeoR/GlpR transcriptional regulator	CDS	0.6500683523981254	0.6477832947173543	0
208	DN756_17445		polyamine aminopropyltransferase	CDS	0.5227244559283701	0.5354497862644494	0
209	DN756_17530	gspE	type II secretion system protein GspE	CDS	0.4726168004947769	0.6052461779746736	0
210	DN756_17775	thiP	thiamine/thiamine pyrophosphate ABC transporter permease ThiP	CDS	0.5637343192358328	0.531408208103476	0
211	DN756_17795	rapA	RNA polymerase-associated protein RapA	CDS	0.5086151573937312	0.6142667132202427	0
212	DN756_17800		hypothetical protein	CDS	0.6225694608884289	0.5262514313403795	0
213	DN756_17805	tssM	type VI secretion system membrane subunit TssM	CDS	0.5848660411138771	0.5066661245301742	0
214	DN756_17815	tssK	type VI secretion system baseplate subunit TssK	CDS	0.5984444148902948	0.456333167392013	0
215	DN756_17820	tssJ	type VI secretion system lipoprotein TssJ	CDS	0.6056903032933594	0.4651735491740834	0
216	DN756_17830		DUF3540 domain-containing protein	CDS	0.578089652760591	0.488747565190029	0
217	DN756_17835		hypothetical protein	CDS	0.590708640875307	0.4882648203555393	0
218	DN756_17840		DUF2169 domain-containing protein	CDS	0.6487489279155363	0.47043550161251474	0
219	DN756_17845	vgrG	type VI secretion system tip protein VgrG	CDS	0.6125797548978427	0.5666247544005635	0
220	DN756_17850	tssH	type VI secretion system ATPase TssH	CDS	0.6159111969145513	0.5223470930751539	0
221	DN756_17855	tssG	type VI secretion system baseplate subunit TssG	CDS	0.6958325426614967	0.4294366054821876	0
222	DN756_17865		lysozyme	CDS	0.6271647403417445	0.44841055948318054	0
223	DN756_17875	tssC	type VI secretion system contractile sheath large subunit	CDS	0.7040711533692747	0.4172633885181945	0
224	DN756_17880	tssB	type VI secretion system contractile sheath small subunit	CDS	0.7072525586880218	0.37918331068772004	0
225	DN756_03705	fliJ	flagellar export protein FliJ	CDS	0.6186286372253839	0.5303829410354245	0
226	DN756_17885		hypothetical protein	CDS	0.8580935319881966	0.29448962970710685	0
227	DN756_17770		thiamine ABC transporter substrate binding subunit	CDS	0.5556820660886495	0.5750607338526857	0
228	DN756_17450		S-adenosylmethionine decarboxylase proenzyme	CDS	0.5765639918675923	0.5557108390926034	0
229	DN756_17760	sgrR	HTH-type transcriptional regulator SgrR	CDS	0.515390706027797	0.6095255443908955	0
230	DN756_17745	leuC	3-isopropylmalate dehydratase large subunit	CDS	0.5489494322639753	0.5114916395409524	0
231	DN756_03950	gntP	gluconate transporter GntP	CDS	0.47367764955655073	0.6407311967258476	0
232	DN756_17535		type IV pilin biogenesis protein	CDS	0.5390769023210339	0.5121158921350143	0
233	DN756_17540		guanosine monophosphate reductase	CDS	0.596605673805533	0.5311141253781128	0
234	DN756_03925		MFS transporter	CDS	0.5937348544627624	0.5088585408540196	0
235	DN756_03920		thioesterase	CDS	0.5688369507594911	0.5049983298243557	0
236	DN756_03915		thiazolinyl imide reductase	CDS	0.5675800689117346	0.5127754937238572	0
237	DN756_17560	yacG	DNA gyrase inhibitor YacG	CDS	0.5480267874113295	0.5266689437572961	0
238	DN756_03905		non-ribosomal peptide synthetase	CDS	0.5804065810387732	0.4977342922909617	0
239	DN756_03900		non-ribosomal peptide synthase	CDS	0.5823988734189984	0.4891761033652622	0
240	DN756_03895		TonB-dependent receptor	CDS	0.5975953696784663	0.5672724517880633	0
241	DN756_17565		IS200/IS605-like element IS1541B family transposase	CDS	0.43929879526796717	0.5616225809573935	0
242	DN756_17575	mutT	8-oxo-dGTP diphosphatase MutT	CDS	0.5643440863118848	0.5288520443458332	0
243	DN756_17585	secA	preprotein translocase subunit SecA	CDS	0.5568102308665891	0.5677681532898416	0
244	DN756_17590	secM	secA regulator SecM	CDS	0.5254842848017628	0.5381860907204161	0
245	DN756_03860		hypothetical protein	CDS	0.4855966259961873	0.6143478115845652	0
246	DN756_17650		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	CDS	0.4836395240456686	0.5611707931409934	0
247	DN756_17725	leuO	transcriptional regulator LeuO	CDS	0.6981212308385416	0.5536897834829437	0
248	DN756_17750	leuD	3-isopropylmalate dehydratase small subunit	CDS	0.5696020671111187	0.5599327231866424	0
249	DN756_14880		outer membrane porin, OprD family	CDS	0.574149664460745	0.5254877485923526	0
250	DN756_17005		L-ribulose-5-phosphate 4-epimerase	CDS	0.543053540687898	0.6419340123574454	0
251	DN756_16995	dmsB	dimethylsulfoxide reductase subunit B	CDS	0.5962280684080228	0.544457628890289	0
252	DN756_16370	rdgC	recombination-associated protein RdgC	CDS	0.49654149246926277	0.5760708409924876	0
253	DN756_16375		pyrimidine/purine nucleoside phosphorylase	CDS	0.6028977520422601	0.5383232867915896	0
254	DN756_16425	frsA	esterase FrsA	CDS	0.5251049187323101	0.5436675636535113	0
255	DN756_04595	lysS	lysine--tRNA ligase	CDS	0.5597813742271358	0.5548481210245713	0
256	DN756_04590	prfB	peptide chain release factor 2	CDS	0.547098774997629	0.5503030871315853	0
257	DN756_16465	nqrM	(Na+)-NQR maturation NqrM	CDS	0.5640818401115048	0.6194540542250038	0
258	DN756_16470		FAD:protein FMN transferase	CDS	0.5813373858406676	0.5556744796088545	0
259	DN756_16475	nqrF	NADH:ubiquinone reductase (Na(+)-transporting) subunit F	CDS	0.5426362530220816	0.5881402449610688	0
260	DN756_16480	nqrE	NADH:ubiquinone reductase (Na(+)-transporting) subunit E	CDS	0.5287208685281317	0.551692982199959	0
261	DN756_16485		NADH:ubiquinone reductase (Na(+)-transporting) subunit D	CDS	0.4940275310954697	0.5463299225143845	0
262	DN756_16490		Na(+)-translocating NADH-quinone reductase subunit C	CDS	0.5025570233515865	0.5479696508066868	0
263	DN756_16530		transcriptional regulator	CDS	0.5236547751487174	0.5592761916063647	0
264	DN756_16540		filamentous hemagglutinin N-terminal domain-containing protein	CDS	0.5867242896245028	0.4848404385892786	0
265	DN756_16555	tnpA	IS200/IS605 family transposase	CDS	0.5896524458365686	0.6208953961996447	0
266	DN756_16560		methylthioribose kinase	CDS	0.6341229559039299	0.4654987177813326	0
267	DN756_16570		acireductone dioxygenase	CDS	0.6716697913457241	0.4996048086806858	0
268	DN756_04520		hypothetical protein	CDS	0.6941511937980538	0.420403221941248	0
269	DN756_16360		exonuclease subunit SbcC	CDS	0.5244598485371753	0.5657560563453689	0
270	DN756_16575	mtnC	acireductone synthase	CDS	0.5883331021530301	0.5144925097163823	0
271	DN756_16330	proY	proline-specific permease ProY	CDS	0.5540048510629523	0.5479848619736173	0
272	DN756_16315		SDR family oxidoreductase	CDS	0.523581218079528	0.5287129418116095	0
273	DN756_16175		cytochrome o ubiquinol oxidase subunit IV	CDS	0.5470392915011878	0.5829543187726904	0
274	DN756_16180		protoheme IX farnesyltransferase	CDS	0.6379150394601855	0.4530203958153478	0
275	DN756_16185		MFS transporter	CDS	0.5566019186334552	0.5294392429806534	0
276	DN756_16210	thiI	tRNA 4-thiouridine(8) synthase ThiI	CDS	0.5527800351412832	0.6433489709303633	0
277	DN756_16220		(2E,6E)-farnesyl diphosphate synthase	CDS	0.5720431742889805	0.5060176455538761	0
278	DN756_04745		hypothetical protein	CDS	0.6560525952560692	0.435451908001738	0
279	DN756_16225		1-deoxy-D-xylulose-5-phosphate synthase	CDS	0.599514203139917	0.507836263856527	0
280	DN756_16230		phosphatidylglycerophosphatase A	CDS	0.5528185426442848	0.5724193274461268	0
